Datetime,Open,High,Close,Volume,RSI,MA
2022-02-23 13:00:00+00:00,110.81077575683594,110.81077575683594,110.53546905517578,0,0.0,110.53546905517578
2022-02-23 14:00:00+00:00,110.57245635986328,110.58869934082033,109.7830810546875,0,0.0,110.15927505493164
2022-02-23 15:00:00+00:00,109.76200103759766,109.76200103759766,109.26164245605467,0,0.0,109.86006418863933
2022-02-23 16:00:00+00:00,109.26754760742188,110.01658630371094,110.01658630371094,0,37.21189101780663,109.89919471740723
2022-02-23 17:00:00+00:00,110.00386810302734,110.67079162597656,108.7864227294922,0,23.16536151982335,109.67664031982422
2022-02-23 18:00:00+00:00,108.7950210571289,109.19231414794922,108.77970886230467,10973504,23.117735699183612,109.52715174357097
2022-02-23 19:00:00+00:00,108.76229858398438,108.91276550292967,108.128662109375,0,19.275024397655713,109.3273675101144
2022-02-23 20:00:00+00:00,108.1066665649414,108.1066665649414,107.74632263183594,251520,17.560778231109225,109.12973690032959
2022-02-23 21:00:00+00:00,107.7567901611328,107.8215103149414,107.38787078857422,3803712,16.20925653517169,108.93619622124567
2022-02-23 22:00:00+00:00,107.37784576416016,107.4443588256836,107.38044738769533,9544256,16.183462291414443,108.78062133789062
2022-02-23 23:00:00+00:00,107.43712615966795,107.44495391845705,105.98430633544922,4029824,12.455660256232903,108.52641088312322
2022-02-24 00:00:00+00:00,105.941650390625,106.01348876953124,104.90101623535156,5367744,10.567019391877551,108.22429466247559
2022-02-24 01:00:00+00:00,104.88975524902344,105.32902526855467,105.2845687866211,4251776,15.123705781720133,107.99816190279446
2022-02-24 02:00:00+00:00,105.27820587158205,106.03064727783205,104.41567993164062,20081216,13.55872296773633,107.74227033342633
2022-02-24 03:00:00+00:00,103.50232696533205,103.50232696533205,99.42625427246094,117636992,8.504995847954874,107.18786926269532
2022-02-24 04:00:00+00:00,99.39232635498048,99.39232635498048,98.32523345947266,75230208,8.289112696937693,106.6339545249939
2022-02-24 05:00:00+00:00,98.3224868774414,98.38273620605467,95.37958526611328,62952512,7.0455651773207535,105.97193280388328
